type,id,lat,lon,brand,shop,city,street,housenumber,postcode,opening_hours
node,267345511,47.3858089,8.516573900000001,Coop,supermarket,Zürich,Maagplatz,1,8005,Mo-Fr 06:00-20:00; Sa 08:00-20:00
node,267346993,47.3855977,8.5314709,Migros,supermarket,Zürich,Limmatstrasse,152,8005,Mo-Sa 07:30-20:00; PH off
node,267468996,47.3648716,8.521006,Coop,supermarket,Zürich,Uetlibergstrasse,20,8045,Mo-Sa 07:30-21:00
node,268603429,47.36736,8.5461737,Coop,supermarket,Zürich,Theaterstrasse,18,8001,Mo-Fr 08:00-20:00; Sa 08:00-19:00
node,269050379,47.3544624,8.7132591,Migros,supermarket,Uster,Winterthurerstrasse,18,8610,Mo-Sa 08:00-20:00; PH off
node,270692983,47.3579403,8.5546463,Coop,supermarket,Zürich,Seefeldstrasse,123,8008,Mo-Sa 07:00-22:00
node,270958272,47.3583667,8.5540739,Migros,supermarket,Zürich,Seefeldstrasse,111-113,8008,Mo-Sa 07:30-20:00; PH off
node,271028298,47.3656781,8.5480408,Migros,supermarket,Zürich,Falkenstrasse,19-21,8008,"Mo-Fr 07:00-20:00, Sa 08:00-20:00; PH off"
node,271028686,47.3667726,8.5480794,Coop,supermarket,Zürich,Stadelhoferstrasse,10,8001,Mo-Sa 06:00-22:00; Su 07:00-22:00
node,271029206,47.3645956,8.5538464,Migros,supermarket,Zürich,Kreuzplatz,20,8032,Mo-Sa 08:00-20:00; PH off
node,271029581,47.3643,8.5551291,Coop,supermarket,Zürich,Forchstrasse,4,8008,Mo-Sa 08:00-21:00
node,273942728,47.3576104,8.5713693,Migros,supermarket,Zürich,Forchstrasse,260,8008,Mo-Sa 08:00-20:00; PH off
node,274079274,46.5059315,6.6885514,Coop,supermarket,Lutry,Route de l'Ancienne Ciblerie,2,1095,Mo-Th 8:00-19:00;Fr 8:00-20:00;Sa 8:00-18:00
node,274598110,47.4926707,7.5943412,Migros,supermarket,Reinach BL,Herrenweg,11,4153,"Mo-Fr 08:00-19:00, Sa 07:30-18:00; PH off"
node,274716412,47.4200323,7.501762,Migros,supermarket,Laufen,Bahnhofstrasse,4,4242,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-18:00; PH off"
node,274824641,47.3689582,8.5413011,Lidl,supermarket,Zürich,Fraumünsterstrasse,16,8001,Mo-Sa 08:00-21:00
node,276363821,47.4188884,8.5056989,Coop,supermarket,Zürich,Wehntalerstrasse,549,8046,Mo-Sa 08:00-20:00
node,276847742,47.4356824,9.3920818,Migros,supermarket,St. Gallen,Bachstrasse,29,9008,Mo-Fr 08:00-19:00; Th 08:00-21:00; Sa 07:30-17:00; PH off
node,277204947,47.1755809,8.9022254,Coop,supermarket,Siebnen,Stockbergstrasse,1,8854,Mo-Fr 08:00-20:00; Sa 07:30-20:00
node,277204951,47.1759674,8.901942,Denner,supermarket,Siebnen,Glarnerstrasse,43,8854,Mo-Fr 08:00-20:00; Sa 07:30-20:00
node,279155943,47.1656305,8.2917405,Migros,supermarket,Hochdorf,Hauptstrasse,5,6280,"Mo-Th 08:00-19:00, Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,280130028,47.1554921,9.0396663,ALDI,supermarket,Schänis,Säumergutstrasse,3,8718,Mo-Th 07:30-19:00; Fr 07:30-20:00; Sa 07:30-17:00
node,280528081,46.9561025,7.4467039,Migros,supermarket,Bern,Dammweg,9,3013,"Mo-Fr 08:00-20:00, Sa 08:00-17:00; PH off"
node,281442993,47.2084598,8.7057527,Coop,supermarket,Richterswil,Poststrasse,14b,8805,Mo-Sa 07:00-20:00
node,282021895,46.5079638,6.6248618,Migros,supermarket,Lausanne,avenue de Rhodanie,2,1007,Mo-Sa 08:00-21:00; Su 09:00-20:00
node,282874901,47.4768338,8.3085492,Migros,supermarket,Baden,Bahnhofstrasse,40/42,5400,"Mo-Tu 08:00-19:00, We-Fr 08:00-20:00, Sa 07:30-18:00; PH off"
node,283103824,47.3936485,8.529543499999999,Coop,supermarket,Zürich,Scheffelstrasse,12,8037,Mo-Sa 07:00-21:00
node,283126967,47.392539,8.5245566,Coop,supermarket,Zürich,Röschibachstrasse,22,8037,Mo-Sa 07:30-20:00
node,283662654,47.4083114,7.542603,Migros,supermarket,Breitenbach,Laufenstrasse,4,4226,"Mo-Th 08:00-18:30, Fr 08:00-21:00, Sa 08:00-18:00; PH off"
